food_name,energy_kcal,protein_g,fat_g,carbs_g,vitamins_total,category
Говеждо салами се готви,68,3.3,5.8,0.5,1.463,Други
Yachtwurst се готви,150,8.3,12.7,0.8,0.0,Други
Италиански салам,43,2.2,3.7,0.1,0.844,Други
Турция шунка,38,5.5,1.6,0.3,1.569,Месо и месни продукти
Турция Болоня,59,3.2,4.5,1.3,4.927,Други
Нарязана пуешка гърда,17,2.4,0.6,0.4,1.557,Други
Обяд меса свинско говеждо месо,99,3.5,9.0,0.7,1.4,Месо и месни продукти
говеждо болоня,90,3.3,7.8,1.3,6.327,Други
Готвена пуешка бекон,313,24.3,22.9,2.5,4.41,Месо и месни продукти
смлян ему готвен,178,31.0,5.1,0.0,15.452,Други
щраусов крак суров,94,19.0,1.5,0.0,6.331,Други
щрауса ивица сурова,108,20.1,2.4,0.0,6.741,Други
Приготвено филе,607,123.2,9.1,0.0,60.412,Други
щраус филе RAW,105,18.8,2.7,0.0,6.249,Други
Барабани на ему,649,134.7,8.4,0.0,66.31,Други
Зелена костенурка сурова,25,5.6,0.1,0.0,0.872,Зеленчуци
"смлян бизон, приготвен",448,63.6,21.6,0.0,17.432,Други
козе месо сурово,494,93.4,10.5,0.0,19.814,Месо и месни продукти
смлян ему суров,157,26.6,4.7,0.0,14.024,Други
смлян щраус суров,180,22.0,9.5,0.0,7.403,Други
Охладен съвет,123,24.2,2.2,0.0,8.397,Други
Карибу се готви,210,38.0,6.4,0.0,13.196,Други
смлян щраус готвен,163,24.3,6.6,0.0,8.622,Други
Опасен крак,120,24.7,1.6,0.0,8.597,Други
щраусо,132,23.9,3.3,0.0,8.444,Други
"щрауса, приготвена",139,25.0,3.6,0.0,8.793,Други
щраусово върхът RAW,97,18.6,2.0,0.0,6.116,Други
щраус кръг сурово,99,18.7,2.0,0.0,6.099,Други
смляна бизона сурова,124,17.2,6.1,0.099,5.351,Други
щраус вентилатор RAW,99,18.5,2.3,0.0,6.135,Други
щраусо,101,18.4,2.5,0.0,6.074,Други
"телешки мозък, приготвен",461,38.9,32.6,0.0,57.408,Други
"Нелепна езика, приготвен",515,65.9,25.8,0.0,22.514,Други
Приготвено сърце от говеждо месо,47,8.1,1.3,0.057,3.034,Месо и месни продукти
Черният дроб на пуйка,100,14.3,4.3,0.0,28.547,Други
Нелестно приготвено тимус,35,6.4,0.9,0.0,12.87,Други
"говеждо мозък, приготвен",688,44.1,55.6,0.0,29.854,Други
Гелево панкреас се готви,602,60.2,38.2,0.0,65.345,Други
"Говеждо трип, приготвен",80,10.0,3.4,1.7,0.68,Други
Пилешка водеща се готви,223,44.1,3.9,0.0,6.163,Месо и месни продукти
Свинско панкреас се готви,537,69.8,26.5,0.0,36.544,Месо и месни продукти
Говежден език се готви,80,5.5,6.3,0.0,2.003,Други
"Агнешко сърце, приготвено",353,47.7,15.1,3.7,27.557,Други
Гусето с говеждо месо,447,77.3,12.9,0.0,175.895,Месо и месни продукти
"Нелепни бъбреци, приготвени",300,48.4,10.4,0.0,29.558,Други
"пилешко сърце, приготвено",268,38.3,11.5,0.1,12.367,Месо и месни продукти
"Агнешки език, приготвен",701,55.0,51.7,0.0,30.009,Други
Нелестно сърце приготвено,368,57.7,13.4,0.3,35.777,Други
варен пилешки черен дроб,76,11.3,2.8,0.5,14.921,Месо и месни продукти
"Агнешко панкреас, приготвен",541,52.7,34.9,0.0,54.837,Други
приготвен далак,445,83.1,10.0,0.0,157.873,Други
"Агнешки черен дроб, приготвен",739,102.7,29.6,8.5,109.1,Други
Турция Gizzard се готви,70,11.9,2.1,0.0,6.385,Други
"Далак на лампата, приготвена",460,78.1,14.1,0.0,95.39,Други
Сърцето на Турция се готви,35,5.0,1.5,0.0,3.248,Други
говеждо черен дроб,130,19.8,3.6,3.5,28.244,Други
"Агнешки бели дробове, приготвени",431,75.7,11.8,0.0,117.012,Други
"свински мозък, приготвен",527,46.4,36.3,0.0,74.994,Други
гъски черен дроб,125,15.4,4.0,5.9,27.622,Други
"свински бъбреци, приготвени",211,35.6,6.6,0.0,30.526,Други
Агнешки мозък се готви,503,43.5,35.3,0.0,55.295,Други
"свинско сърце, приготвено",215,34.2,7.3,0.6,19.24,Месо и месни продукти
"Агнешки бъбреци, приготвени",349,60.3,9.2,2.5,58.3,Други
"Говеждо белите дробове, приготвени",364,61.8,11.2,0.0,109.413,Други
Нелехово панкреас се готви,614,69.8,35.0,0.0,26.65,Други
"свински черен дроб, приготвен",584,92.1,15.6,13.3,160.771,Други
"Говеждо бъбреци, приготвени",45,7.7,1.3,0.0,2.681,Други
Готвати пушки,164,25.1,6.3,0.0,17.558,Други
патешки черен дроб суров,60,8.2,2.0,1.6,14.146,Други
телешко чернодробно приготвено,154,22.7,5.0,3.0,37.69,Месо и месни продукти
"свински бели дробове, приготвени",297,49.8,9.3,0.0,31.318,Други
"Лека бели дробове, приготвени",312,56.2,7.9,0.0,109.62,Други
Говедо от говеждо месо се готви,1215,83.2,95.2,0.0,131.25,Месо и месни продукти
Хам,46,4.6,2.5,1.0,2.644,Други
"свинско месо, приготвено",283,14.1,14.1,0.0,13.659,Месо и месни продукти
бекон печен,43,3.0,3.3,0.1,1.272,Месо и месни продукти
свинско най -малко печени сурови,3644,468.4,182.8,0.0,170.007,Месо и месни продукти
свинско острие ролка сурово,76,4.7,6.2,0.0,1.556,Месо и месни продукти
свински бекриби сурови,2399,204.2,174.9,0.0,96.788,Риба и морски дарове
"Свинско спарори, приготвени",703,51.4,53.6,0.0,13.746,Месо и месни продукти
Студен стомах с свинско месо,44,6.1,2.1,0.029,1.012,Месо и месни продукти
мед пушена шунка,67,9.9,1.3,4.0,2.201,Месо и месни продукти
Бостън Буто Стейк сурова,844,79.0,56.1,0.0,33.167,Други
свински котлети с котлети,140,23.3,4.5,0.0,8.63,Други
свински селски стил ребра сурови,242,24.8,15.1,0.0,7.892,Други
Химови банички,205,8.3,18.3,1.1,2.845,Други
"свински крака, приготвени",67,6.2,4.5,0.0,0.553,Други
смляно свинско приготвено,930,80.4,65.0,0.0,21.939,Месо и месни продукти
"свински центрови котлети, приготвени",328,40.2,17.4,0.0,16.769,Други
"Свинска капачка за крака пържола, приготвена",307,53.5,8.6,0.0,20.239,Други
свинско острие котлети сурови,376,55.8,15.4,0.0,25.761,Месо и месни продукти
свинско филе сурова,606,104.3,17.8,0.0,49.398,Месо и месни продукти
свински котлети за свинско месо сурово,1090,205.5,23.3,0.0,87.711,Месо и месни продукти
свинско капачка за крака пържола сурова,284,50.0,7.8,0.0,22.076,Месо и месни продукти
свински труп суров,1706,63.1,159.1,0.0,27.905,Други
свинско сплит приготвен,446,84.3,9.6,0.0,56.673,Месо и месни продукти
Нарязана шунка,50,4.6,2.9,1.2,1.471,Месо и месни продукти
свински центрови котлети сурови,338,41.2,18.0,0.0,17.73,Други
готвени котлети за свинско острие,265,32.4,14.6,1.1,13.865,Месо и месни продукти
"Boston Butt Steak, приготвена",494,46.4,32.7,0.0,12.381,Други
свинско месо сурово,179,2.6,18.6,0.0,1.314,Месо и месни продукти
свинско топчета от ядки сурови,287,39.9,12.8,0.0,19.35,Месо и месни продукти
Сворско острие от пържола,694,68.2,44.7,0.087,17.032,Други
"Свинско бостънски пържоли, приготвени",438,43.2,28.1,0.0,11.793,Месо и месни продукти
Бекон се готви,43,3.5,3.1,0.068,1.343,Месо и месни продукти
Мариновани свински скакали,48,5.4,3.0,0.0,0.71,Други
свинско бостънско печено варено,705,60.5,49.4,0.0,18.015,Месо и месни продукти
Бейкън на канадски стил на скара,43,5.7,2.0,0.3,2.263,Други
пържола с шунка,70,11.1,2.4,0.0,22.644,Месо и месни продукти
свинско бек мазнини,3683,13.2,402.3,0.0,6.442,Месо и месни продукти
бекон изпечен,44,2.9,3.5,0.1,1.447,Месо и месни продукти
свинско ръка пикник суров,5298,513.6,343.4,0.0,192.904,Месо и месни продукти
Солено свинско сурово,212,1.4,22.8,0.0,0.785,Месо и месни продукти
свинско ръка пикник,5292,560.3,322.7,0.0,177.655,Месо и месни продукти
готвени котлети за свинско месо,270,39.4,11.2,0.0,16.992,Месо и месни продукти
смляно свинско сурово,329,21.1,26.5,0.0,8.894,Месо и месни продукти
свинско рамо сурово,1070,77.9,81.6,0.0,31.323,Месо и месни продукти
Приготвени свинско изтриване,66,3.5,5.8,0.0,0.479,Месо и месни продукти
готвени ивици за свинско закуска,52,3.3,4.1,0.1,1.343,Месо и месни продукти
свинско острие ролка печено,1079,65.0,88.3,1.4,27.439,Месо и месни продукти
"свинска опашка, приготвена",1089,46.8,98.5,0.0,5.463,Други
свински център ребро печени сурови,275,44.0,9.7,0.0,18.366,Други
свински център ребро печени,1942,211.3,114.9,0.0,98.653,Други
кайма,55,3.4,4.3,0.4,1.471,Месо и месни продукти
Печена шунка,316,28.7,21.3,0.6,29.987,Месо и месни продукти
свинско сладко сурово,232,23.1,14.7,0.0,9.225,Месо и месни продукти
свински бекриби печени,2564,202.0,188.9,0.0,92.671,Риба и морски дарове
свинско коремче суров,2350,42.4,240.5,0.0,29.258,Месо и месни продукти
шунка сурова,266,23.8,18.2,0.046,7.809,Месо и месни продукти
шунка допълнително постно,45,5.1,2.3,0.6,2.081,Месо и месни продукти
Свинско краката мариновани,635,52.8,45.5,0.029,3.546,Месо и месни продукти
"свинско рамо, приготвено",394,31.4,28.9,0.0,8.883,Месо и месни продукти
свинско най -малко печени печени,1628,224.3,74.8,0.0,80.079,Месо и месни продукти
свинска кожа,154,17.3,8.9,0.0,0.912,Други
свински ребрата в селски стил,235,22.8,15.2,0.0,7.304,Други
свинско острие пържола сурова,664,67.6,43.7,0.6,26.393,Месо и месни продукти
"свинско филе, приготвено",153,22.7,6.2,0.0,6.782,Месо и месни продукти
"свинско сладко, приготвено",213,24.2,12.1,0.0,6.405,Месо и месни продукти
"свински уши, приготвени",184,17.7,12.0,0.2,0.791,Други
"свински език, приготвен",626,55.7,43.0,0.0,19.896,Други
свинско спарориди сурови,3593,200.6,303.5,0.0,88.339,Месо и месни продукти
Хим банички на скара,205,8.0,18.5,1.0,2.921,Други
Пилена кожа печена,508,22.8,45.6,0.0,8.041,Месо и месни продукти
Турция гърди сурова,3554,495.6,158.9,0.0,146.819,Други
Наземна пуйка сурова,169,22.4,8.7,0.0,10.017,Други
Пилещо крило се готви,52,4.8,3.5,0.0,1.689,Месо и месни продукти
Печено печено пуйка,209,28.8,7.8,4.1,11.065,Други
Фазанско месо сурово,1448,181.6,74.3,0.0,108.679,Месо и месни продукти
Пилешки гръб сурово,188,8.3,17.0,0.0,4.912,Месо и месни продукти
"Пилешки гръб, приготвен",93,8.0,6.5,0.0,2.31,Месо и месни продукти
Пилешки крак пържено,431,34.4,25.5,13.8,11.315,Месо и месни продукти
"Пилешки крака, приготвени",975,88.0,66.2,0.9,4.867,Месо и месни продукти
пуешка пържола пържена,179,9.1,10.8,10.9,2.126,Други
варено месо от пуйка тако,271,30.7,13.9,5.5,8.502,Месо и месни продукти
Пилешки крак суров,736,56.3,54.9,0.6,23.396,Месо и месни продукти
пилешко месо сурово,1978,171.1,138.6,0.0,94.016,Месо и месни продукти
Пилешка шия се готви,94,7.5,6.9,0.0,2.059,Месо и месни продукти
Пилешки барабани пържени,193,15.8,11.3,6.0,5.503,Месо и месни продукти
Яйце от пъдпъдъци,14,1.2,1.0,0.08,0.605,Яйца
"Патешко месо, приготвено",472,26.6,39.7,0.0,10.493,Месо и месни продукти
Пилещо крило печено,216,20.2,14.3,0.0,7.738,Месо и месни продукти
Приготвено месо от пъдпъдъци,1028,113.7,63.9,0.0,55.195,Месо и месни продукти
Приготвено гъско месо,427,35.2,30.7,0.0,11.624,Месо и месни продукти
"пилешки гърди, приготвени",114,17.3,4.5,0.0,8.743,Месо и месни продукти
Пилешка шия сурова,149,7.0,13.1,0.0,2.649,Месо и месни продукти
Дък яйце,130,9.0,9.6,1.0,3.234,Яйца
Фазанска гърда сурова,484,88.7,11.8,0.0,60.097,Други
Duck Meat Raw,5123,145.7,498.8,0.0,114.961,Други
Squab Meat Raw,585,36.8,47.4,0.0,25.566,Други
Пилешки барабан RAW,211,23.4,12.4,0.1,8.999,Месо и месни продукти
Пуешко месо печено,284,42.8,11.1,0.031,17.47,Месо и месни продукти
пилешки гърди сурови,299,36.3,16.1,0.0,20.418,Месо и месни продукти
"смляно пиле, приготвено",474,58.4,27.4,0.0,24.972,Месо и месни продукти
Крило с пуешко месо,426,50.9,23.1,0.0,13.368,Месо и месни продукти
гъска месо сурово,6077,259.8,550.7,0.0,161.343,Месо и месни продукти
пуешка гърда печена,3266,496.1,128.0,0.0,132.704,Други
пилешки ленти Fajita,13,1.7,0.5,0.2,0.663,Месо и месни продукти
хрупкави пилешки ленти Тайсън,145,0.0,6.0,0.0,0.0,Месо и месни продукти
Шоколадов пудинг без мазнини,105,2.2,0.3,23.6,0.6,Десерти и сладки
Тапиока пудинг,143,2.1,4.3,23.9,1.042,Други
тапиока пудинг без мазнини,105,1.6,0.4,23.9,0.762,Други
оризов пудинг,122,3.6,2.4,20.8,2.715,Други
царевичен пудинг,328,11.1,12.6,42.4,15.248,Други
Шоколадов пудинг,213,3.1,6.9,34.5,1.981,Десерти и сладки
лимонов пудинг,173,4.1,4.4,30.2,2.2,Други
ванилов пудинг,195,2.2,5.7,33.9,1.435,Други
Profeel Proteiinirahka Valio,140,175.0,0.4,19.3,0.0,Други
извара със сирене сметана,20,2.2,0.9,0.7,0.632,Млечни продукти
Зазики Милфина,51,0.0,4.4,0.0,0.0,Други
извара с ниска мазнина,163,28.0,2.3,6.1,1.638,Други
извара немасница,104,15.0,0.4,9.7,1.41,Други
ванилово кисело мляко с ниско съдържание на мазнини,208,12.1,3.1,33.8,4.568,Млечни продукти
класически кисело мляко равнина 2 Liberte,30,3.3,1.2,1.7,0.0,Млечни продукти
Yoplait Light Strawberry кисело мляко Yoplait,79,0.0,0.0,0.074,0.0,Млечни продукти
ванилово кисело мляко,145,8.4,2.1,23.5,3.124,Млечни продукти
Шоколадово кисело мляко,168,5.3,0.0,35.3,0.794,Млечни продукти
Парфе с кисело мляко,125,5.0,1.5,23.6,23.818,Млечни продукти
кисело мляко,92,5.2,4.9,7.0,2.041,Млечни продукти
Шоколадово замразено кисело мляко,221,5.2,6.3,37.6,1.061,Млечни продукти
Замразено кисело мляко,221,5.2,6.3,37.6,2.156,Млечни продукти
ниско мазнини с кисело мляко,154,12.9,3.8,17.2,4.514,Млечни продукти
ванилово кисело мляко Oikos,120,0.0,1.8,0.0,0.0,Млечни продукти
Плодово кисело мляко,149,6.0,1.7,28.0,2.315,Млечни продукти
Даноне с ниско съдържание на мазнини Alsafi,88,0.0,1.7,0.089,0.0,Други
Плодове N Парфе за кисело мляко McDonalds,156,4.1,1.9,30.9,22.032,Млечни продукти
тройно нулево гръцко кисело мляко Данон Ойкос,120,0.038,0.0,22.5,0.0,Млечни продукти
гръцко кисело мляко,100,17.3,0.7,6.1,1.824,Млечни продукти
Мини протеинът на шоколадов малинов протеин,102,0.0,2.9,0.0,0.0,Десерти и сладки
Гушери плодови бушъри,360,0.0,6.0,0.2,0.0,Плодове
Пържено яйце,90,6.3,6.8,0.4,2.075,Яйца
Glucerna Abbott,1010,0.0,35.6,120.9,0.0,Други
Спортна напитка,26,0.0,0.0,7.2,15.1,Зърнени и тестени
Протеин от бисквитки с фъстъчено масло Syntha 6,200,0.0,6.0,5.0,0.0,Мазнини
Hanfprotein pulver rohkostqualitat Veganz,107,0.0,3.1,14.2,0.0,Други
пюре с висок протеинов кремообразен шоколад slimfast,110,12.0,3.5,2.1,255.0,Напитки
Яйце голямо,138,0.0,9.3,0.0,0.0,Яйца
Boysenberries замръзна,66,1.5,0.3,16.1,6.734,Други
Малцова напитка,88,0.5,0.3,19.1,4.007,Зърнени и тестени
шоколадов прах за мляко,88,1.0,0.5,19.9,6.553,Млечни продукти
зеленчуков плодов сок,9,0.071,0.017,2.2,10.356,Плодове
Какао на прах несладен,12,1.1,0.7,3.1,0.508,Други
кокосово мляко,35,0.3,3.6,0.8,0.843,Млечни продукти
какао на прах,28,0.5,0.3,5.9,0.601,Други
оризова напитка,113,0.7,2.3,22.0,3.019,Зърнени и тестени
кокосова вода,46,1.7,0.5,8.9,6.334,Напитки
карамел средно ледено кафе Dunkin Donuts,268,0.0,9.0,0.0,0.0,Напитки
Незабавно кафе с вода без кофеин,4,0.2,0.0,0.8,0.65,Напитки
Незабавно кафе на прах,353,12.2,0.5,75.4,28.49,Напитки
Незабавно кафе прах с декофеини,6,0.2,0.069,1.4,0.664,Напитки
Незабавен капучино на прах,53,0.4,0.7,11.2,0.854,Други
Кафе безкофеински,0,0.2,0.0,0.0,0.614,Напитки
Еспресо декофеинов,3,0.065,0.011,0.5,1.938,Други
Незабавно кафе с вода,4,0.2,0.0,0.6,0.562,Напитки
кафе,2,0.3,0.069,0.0,1.525,Напитки
Еспресо,3,0.021,0.086,0.5,2.146,Други
суроватъчен протеин прах ванилия es,108,0.0,1.7,0.0,0.0,Други
Енергийна напитка без захар червен бик,13,0.6,0.2,1.8,32.621,Зърнени и тестени
Powerade Coca Cola,9,0.0,0.009,2.3,0.616,Други
AMP Energy Pepsi,110,0.6,0.2,29.0,8.661,Други
Gatorade G2 Pepsi,2,0.069,0.052,0.6,0.129,Други
AMP Energy Sugar Free Pepsi,5,0.0,0.0,2.5,3.584,Други
Енергийна напитка Red Bull,111,1.2,0.0,26.4,36.368,Зърнени и тестени
Powerade Zero Ion4 Coca Cola,0,0.0,0.0,0.0,1.347,Други
Пълна дроселна кока кола,110,0.6,0.2,29.0,4.468,Други
сок от пасирани плодове лилаво,148,1.7,0.4,35.7,50.94,Плодове
сок от нар,134,0.4,0.7,32.7,2.557,Напитки
Сок от кайсии от червена боровинка,157,0.5,0.0,39.7,0.623,Напитки
сок от ананас,133,0.9,0.3,32.2,110.616,Напитки
Сок от пасирани плодове Жълто,126,1.0,0.1,33.6,77.826,Плодове
Оранжев сок от кайсии,128,0.8,0.3,31.8,51.271,Напитки
Мандаринов сок,106,1.2,0.5,24.9,77.78,Напитки
портокалов сок,90,1.4,0.4,20.8,101.477,Напитки
сок от грейпфрут,96,1.2,0.2,22.7,95.108,Напитки
Ананасен сок от грейпфрут,118,0.5,0.3,29.0,116.106,Напитки
Тамаринд Нектар,143,0.2,0.3,37.0,18.598,Други
ябълков сок,114,0.2,0.3,28.0,2.684,Напитки
Limeade,128,0.0,0.0,34.1,7.946,Други
Гуава Нектар,158,0.2,0.2,40.8,53.965,Други
Оранжев сок от грейпфрут,106,1.5,0.2,25.4,73.59,Напитки
Оранжев сок Sainsbury's,14,0.0,0.088,0.0,0.0,Напитки
ябълков сок от червени боровинки,154,0.0,0.3,38.8,97.175,Напитки
Ананас портокалов сок,125,3.3,0.0,29.5,57.265,Напитки
круша нектар,150,0.3,0.062,39.4,68.018,Други
сок от къпини,95,0.8,1.5,19.5,32.083,Напитки
лимонов сок,54,0.9,0.6,16.6,95.492,Напитки
Гроздов сок от червени боровинки,137,0.5,0.2,34.3,79.067,Напитки
Цитрусов плодов сок,114,0.8,0.057,28.3,67.956,Плодове
сок от сини сливи,182,1.6,0.006,44.7,13.945,Напитки
Гуанабана нектар,148,0.3,0.4,37.5,28.649,Други
плодов сок,108,0.3,0.1,26.3,51.296,Плодове
Хорчата,15,0.1,0.2,3.3,0.067,Други
Плодов удар,98,0.2,0.4,24.4,11.635,Плодове
кайсиев нектар,139,0.9,0.2,35.7,3.261,Други
Orangensaft JA,86,0.0,0.0,1.4,0.0,Други
fruchtcocktail granini,102,0.0,0.4,1.0,0.0,Други
прасковен нектар,125,0.5,1.3,29.7,77.683,Други
сок от портокалов ананас,15,0.1,0.08,3.6,12.282,Напитки
сок от червени боровинки,92,0.8,0.3,24.4,21.396,Напитки
Бял сок от грейпфрут,96,1.2,0.2,22.7,95.549,Напитки
манго нектар,128,0.3,0.2,32.9,39.292,Други
Ацерола черешов сок,56,1.0,0.7,11.6,3874.259,Напитки
Концентрат на ябълков сок,350,1.1,0.8,86.5,5.556,Напитки
Papaya нектар,143,0.4,0.4,36.3,8.786,Други
Ябълков сок Мартинелис,122,0.0,0.0,0.0,0.0,Напитки
сок от лайм,61,1.0,0.2,20.4,73.917,Напитки
гроздов сок,152,0.9,0.3,37.4,0.886,Напитки
Вода Данън,0,0.0,0.0,0.0,0.0,Напитки
чешмяна вода,0,0.0,0.0,0.0,0.0,Напитки
Вода за маса,0,0.0,0.0,0.0,0.0,Напитки
Вода с аромат на плодове,52,0.0,0.0,13.0,37.915,Плодове
вода,0,0.0,0.0,0.0,0.0,Напитки
Cola Light Coca Cola,0,0.0,0.0,0.0,0.0,Други
Сода от лимонова вар,151,0.3,0.0,38.4,0.055,Други
тонична вода,114,0.0,0.0,29.6,0.0,Риба и морски дарове
Лимонада с нискокалория,7,0.092,0.0,1.6,7.6,Напитки
Джинджифил Але,68,0.0,0.0,17.5,0.0,Други
Леден чай с аромат на лимон,88,0.0,0.0,22.3,0.0,Напитки
Sprite Coca Cola,80,0.1,0.063,20.3,0.032,Други
Cola Coca Cola,151,0.0,0.0,38.9,0.0,Други
Кола,74,0.1,0.07,19.1,0.0,Други
Кремна сода,252,0.0,0.0,65.7,0.0,Други
Клубна сода,0,0.0,0.0,0.0,0.0,Други
розова лимонада,86,0.1,0.3,21.6,6.486,Напитки
гроздова сода,160,0.0,0.0,41.7,0.0,Други
Кола без кофеинова кока кола,151,0.0,0.0,38.9,0.0,Други
Бяла лимонада,80,0.1,0.003,20.8,8.102,Напитки
Шоколадова сода,207,0.0,0.0,52.6,0.0,Десерти и сладки
сладък чай Липтън,130,0.0,0.0,35.0,0.0,Напитки
Чай от хибискус,74,0.9,1.3,14.8,39.63,Напитки
Незабавен лимонов чай,2,0.1,0.0,0.3,0.095,Напитки
Песка чай Сантал,116,0.0,0.0,0.0,0.0,Напитки
Незабавен лимонов чай ​​подсладен,91,0.071,0.2,22.3,0.133,Напитки
Чай с мляко и захар Йоркшир,15,0.0,0.5,0.4,0.0,Млечни продукти
Чай боровинка за мъфини Tekanne,4,0.0,0.2,0.4,0.0,Напитки
Чай от лайка,2,0.0,0.0,0.4,0.159,Напитки
Черен чай,2,0.0,0.0,0.7,0.099,Напитки
Билков чай,2,0.0,0.0,0.4,0.247,Напитки
Clam Tomate Juice,80,1.0,0.3,18.2,9.258,Други
доматен сок,41,2.1,0.7,8.6,173.972,Напитки
зеленчуков сок,53,1.5,0.2,11.1,70.725,Зеленчуци
Доматен зеленчуков сок,53,1.5,0.2,11.1,70.163,Зеленчуци
сок от моркови,80,1.9,0.3,18.6,21.424,Зеленчуци
жълъд изсъхна,144,2.3,8.9,15.2,1.311,Други
семена от сминдух,36,2.6,0.7,6.5,0.665,Ядки и семена
"Фъстък, надвишаващ McDonalds",181,7.9,15.0,4.6,7.684,Други
Букни изсъхнаха,173,1.9,15.0,10.1,5.74,Други
семена от дърво сурови дървета сурови,61,1.7,0.3,13.1,8.57,Ядки и семена
Семена от кимион,8,0.4,0.5,0.9,0.569,Ядки и семена
Пили ядки изсъхнаха,863,13.0,95.5,4.8,3.266,Други
лешници печени,194,4.5,18.7,5.3,7.005,Други
Лупини готвени,193,25.8,4.8,15.4,3.27,Други
Hazelnuts Blanched,178,3.9,17.3,4.8,6.57,Други
Бразилските ядки изсъхнаха,33,0.7,3.3,0.6,0.626,Други
слънчогледови семена сухи печени,47,1.5,4.0,1.9,3.692,Ядки и семена
Гинко ядки консервирани,172,3.5,2.5,34.3,20.512,Други
Приготвени фъстъци,572,24.3,39.6,38.3,19.4,Други
семена от тиквени тикви изсушени,721,39.0,63.3,13.8,13.554,Ядки и семена
Ядки кашу сурови,156,5.2,12.4,8.5,1.287,Други
Слънчогледови семена изсъхват,269,9.6,23.7,9.2,22.7,Ядки и семена
Семената на лотос изсъхнаха,106,4.9,0.6,20.6,1.278,Ядки и семена
Буттърс изсъхна,734,29.9,68.4,14.5,7.388,Други
Сусамовите семена изсъхват,52,1.6,4.5,2.1,0.821,Ядки и семена
семена от хляб,57,2.2,1.7,8.8,2.685,Зърнени и тестени
Pinyon Pine Nuts изсушени,1,0.083,0.073,0.01,0.205,Други
Боровите ядки изсъхват,909,18.5,92.3,17.7,20.92,Други
ленени семена,55,1.9,4.3,3.0,0.884,Ядки и семена
семена от шафран семена изсъхват,146,4.6,10.9,9.7,2.455,Ядки и семена
Ядки с шам -фъстък сурови,691,24.9,55.8,33.8,15.387,Други
Фъстъци сурови,828,37.7,71.9,23.5,34.4,Други
макови семена,46,1.6,3.7,2.5,0.609,Ядки и семена
Valencia Peanuts Raw,832,36.6,69.5,30.5,23.6,Други
Испански фъстъци,832,38.2,72.4,23.1,28.0,Други
Семена от копър,20,1.1,1.0,3.6,1.756,Ядки и семена
семена от килограми,22,1.3,1.0,3.3,2.122,Ядки и семена
Acorn Raw,110,1.7,6.8,11.5,0.921,Други
Бадемите печени,182,6.4,16.6,5.3,9.301,Ядки и семена
Лотос семена сурови,25,1.2,0.1,4.9,0.457,Ядки и семена
"Кестени, приготвени",37,0.6,0.4,7.9,8.114,Други
семена от люцерна,1,0.1,0.075,0.002,0.521,Ядки и семена
Вирджински фъстъци печени,173,7.8,14.6,6.0,5.048,Други
лешници сурови,471,11.2,45.6,12.5,19.153,Други
Анасови семена,7,0.4,0.3,1.1,0.709,Ядки и семена
Макадамия ядки печени,215,2.3,22.8,4.0,1.688,Други
Studentenfutter Alnatura,139,3.1,7.8,13.2,0.0,Други
тиквени семена от тиква печени,46,2.4,3.9,1.2,0.716,Ядки и семена
Воден кестен суров,120,1.7,0.1,29.7,9.169,Други
Кестени печени,37,0.5,0.3,7.9,4.496,Други
Гинко ядки сурови,52,1.2,0.5,10.6,6.214,Други
Бадеми сурови,9,0.3,0.7,0.3,0.767,Ядки и семена
Фъстъци печени,180,8.4,15.8,4.6,7.028,Други
Слънчогледови семена са препечени,829,23.1,76.1,27.6,19.2,Ядки и семена
Сисимбриумни семена,235,9.0,3.4,43.1,36.972,Ядки и семена
Сушени семена от дърво,587,13.8,2.7,127.0,82.54,Ядки и семена
Пекани сурови,753,10.0,78.4,15.1,5.952,Други
Чиа семената изсъхнаха,138,4.7,8.7,11.9,3.478,Ядки и семена
Японски кестени печени,57,0.8,0.2,12.8,8.422,Други
Сусамовите семена са препечени,45,1.4,3.8,2.1,0.657,Ядки и семена
Ядки с кашу печени,174,5.1,14.3,9.0,1.473,Други
Лупини сурови,668,65.1,17.5,72.7,16.7,Други
Горчични семена смляна,10,0.5,0.7,0.6,0.582,Ядки и семена
Смесени ядки печени,178,5.2,15.4,7.6,5.435,Други
Salat Mix Alestro,61,0.0,5.2,2.4,0.0,Други
Кестени сурови,309,3.5,3.3,66.0,65.83,Други
Печени ядки с шам -фъстък,172,6.3,13.7,8.5,2.781,Други
орех,33,0.8,3.3,0.7,0.353,Ядки и семена
Семена от целина,25,1.2,1.6,2.7,1.569,Ядки и семена
Хикори ядки изсъхнаха,788,15.3,77.2,21.9,7.042,Други
Испански фъстъци печени,851,41.2,72.1,25.7,25.2,Други
Семената на WOCA изсъхнаха,102,2.2,0.3,22.6,12.163,Ядки и семена
Пекани печени,215,2.8,22.6,3.9,1.844,Други
семена от копър,7,0.3,0.3,1.0,0.658,Ядки и семена
Китайски кестени печени,68,1.3,0.3,14.8,11.773,Други
Диня семена ядки изсъхват,602,30.6,51.2,16.5,4.67,Плодове
Макадамия ядки сурови,38,0.4,4.0,0.7,0.456,Други
Пектин,163,0.2,0.2,45.2,0.191,Други
черен орех изсъхна,31,1.2,3.0,0.5,0.505,Ядки и семена
Воден кестен консерви,70,1.2,0.015,17.2,3.624,Други
Гинко ядки изсъхнаха,98,2.9,0.6,20.5,12.364,Други
